Výrok;Vyhodnotenie;Odôvodnenie;Oblast;Dátum;Meno;"Politická strana"
"Vaši kolegovia z našej teda želanej koalície, z SaS tu urobia bombastickú tlačovku, ako tu garážovka, ktorá v zbernom dvore sídli, až na to, že nesídli v žiadnom zbernom dvore, len sa im to tak asi hodilo na tlačovku povedať a ukázalo sa veľmi rýchlo, že to je, použijem slovo hoax.";Pravda;"Minister školstva Tomáš Drucker reagoval vo svojom výroku na tlačovú besedu strany SaS, kde člen strany Ľudovít Paulis uviedol, že firma DBC Slovakia, ktorá uspela vo výzve úradu podpredsedu vlády pre plán obnovy a znalostnú ekonomiku, sídli na zbernom dvore vo Vrakuni. Firma DBC Slovakia podľa dostupných informácií nesídli na zbernom dvore vo Vrakuni, ale v rodinnom dome nachádzajúcom sa o kilometer ďalej. Výrok hodnotíme ako pravdivý.";"Korupcia a klientelizmus";2025-11-23;"Tomáš Drucker";Hlas
"Čo je problém v tej výzve (Úradu podpredsedu vlády SR pre Plán obnovy a znalostnú ekonomiku, pozn.), aby sme si to naozaj dali na stôl, fakty, v tej výzve sa medzi hodnotiteľmi objavil kandidát za stranu Hlas do komunálnych volieb.";Pravda;"Jeden z hodnotiteľov vo výzve na podporu robotiky a automatizácie bol Juraj Paxián, ktorý kandidoval v roku 2022 do mestského zastupiteľstva Veľkého Medera za stranu Hlas-SD. Výrok hodnotíme ako pravdivý.";Iné;2025-11-23;"Ján Hargaš";"Progresívne Slovensko"
"Mali ste tam (Progresívne Slovensko, pozn.) jeden konkrétny príklad, nezisková organizácia Sovva. Bývalý, nepoznáte, tak sa opýtajte vašich kolegov v Progresívnom Slovensku, pána Štefunka a ďalších. Táto nezisková organizácia, výkonný riaditeľ, potom pracujúci na VAIa, priklepol, na pláne, priklepol 450 000 tejto neziskovej, ale ja vám len hovorím.";Zavádzajúce;"Organizácia SOVVA viedla dva projekty za spolu 450-tisíc eur, na ktoré získala podporu z Plánu obnovy. Výzvu, v ktorej dostala dotáciu, vyhlasovala Výskumná a inovačná autorita (VAIA). Jej riaditeľ Daniel Straka do roku 2022 pôsobil ako riaditeľ SOVVA. Za pridelenie dotácie však zodpovedný nebol, o žiadosti rozhodovali odborní hodnotitelia. Výrok hodnotíme ako zavádzajúci.";"Korupcia a klientelizmus";2025-11-23;"Tomáš Drucker";Hlas
"Pán prezident vám to vrátil naspäť (zákon o hazarde, pozn.), nie s nejakými detailnými pripomienkami, ale s tým, že celý zákon treba zhodiť zo stola.";Pravda;"Novelu zákona o hazarde prezident Pellegrini vrátil parlamentu 3. novembra 2025 a odporučil zákon neprijať. Výrok preto hodnotíme ako pravdivý.";Iné;2025-11-23;"Ján Hargaš";"Progresívne Slovensko"
"Ale to predsa aká už náhoda musí byť, aby medzi tými, čo dostali peniaze, bola firma asistenta poslanca strany Hlas? To aká náhoda musí byť, že tri milióny ostala firma, ktorá je majetkovo prepojená s firmou, ktorá bola darcom strany Hlas?";Pravda;"V dotačnej kauze, na základe ktorej odstúpil podpredseda vlády Peter Kmec, figurovali viaceré spoločnosti s prepojeniami na stranu Hlas. Dotáciu vo výške 9,9 milióna eur dostala Asociácia kritickej infraštruktúry SR, ktorej riaditeľ Tibor Straka je zároveň asistentom poslanca Hlasu Michala Barteka. Tri milióny eur získala z dotačnej schémy aj firma Grizzly Capital. Táto spoločnosť je materskou firmou spoločnosti Consult 4U, ktorá v roku 2022 finančne podporila stranu Hlas sumou 14-tisíc eur. Výrok Michala Šimečku preto hodnotíme ako pravdivý.";"Korupcia a klientelizmus";2025-11-16;"Michal Šimečka";"Progresívne Slovensko"
"Tam je taká procesná vec, že Európska komisia pri pláne obnovy od nás žiadala, aby sme pri takýchto výzvach mali zahraničných hodnotiteľov tých jednotlivých projektov tak, aby nemali domáce prepojenia a väzby, aby sa odstránila pochybnosť, že je to mala domov darcom strany. No a v tomto prípade tam neboli zahraniční hodnotitelia.";Pravda;"Pravidlá pre štátnu podporu výskumu a inováci určujú, že pri väčších výzvach musia projekty hodnotiť odborníci či odborníčky zo zahraničia. Zo zverejnených dokumentov však vyplýva, že ani v jednej z výziev v oblasti robotiky, automatizácie a biolochnolótii neboli projekty odborníci či odborníčky zo zahraničia neposudzovali. Výrok preto hodnotíme ako pravdivý.";"Korupcia a klientelizmus";2025-11-16;"Michal Šimečka";"Progresívne Slovensko"
"Tender na záchranky musel byť zastavený, pretože firma prepojená so stranou Hlas jednoducho dostala zákazku na záchranky, pričom na to nemala absolútne žiadnu kvalifikáciu a skúsenosti. Potvrdil to generálny prokurátor. Sám povedal, že to bola reťaz nezákonnosti.";Zavádzajúce;"Médiá a opozícia upozornili na prepojenie jednej z firiem vo výberovom konaní na stranu Hlas. Syn spoločníka firmy mal kandidovať za stranu Hlas a požičať jej vyše 10 000 eur. Podľa generálneho prokurátora došlo pri tendri na prevádzkovanie staníc záchrannej zdravotnej služby k „reťazeniu nezákonností“. Generálna prokuratúra však nehodnotila prepojenie firmy na stranu Hlas, nezákonným bol podľa nej spôsob, akým bol tender zrušený. Výrok preto hodnotíme ako zavádzajúci.";"Korupcia a klientelizmus";2025-11-16;"Michal Šimečka";"Progresívne Slovensko"
"Práve z tejto výzvy (na úrade podpredsedu vlády Kmeca, pozn.) boli podporené mnohé aj veľké spoločnosti, ako je napr. spoločnosť pána Sotáka alebo firma pána Čekana, ktorý vyvíjal vakcíny, ale dostali priestor aj menšie firmy.";Pravda;"V oboch výzvach Plánu obnovy z roku 2025 boli schválené žiadosti ako veľkých, tak aj menších podnikov, s ročnými tržbami pohybujúcimi sa v desiatkach eur. Z výzvy boli podporené aj spoločnosti Pavla Čekana a Vladimíra Sotáka. Výrok hodnotíme ako pravdivý.";Ekonomika;2025-11-16;"Matúš Šutaj Eštok";Hlas
"Vieme, že Jeffrey Epstein je odsúdený, teda dnes už po smrti, ale bol odsúdený sexuálny predátor, ktorý v podstate vydržoval mladé dievčatá a ponúkal ich mocným ľuďom.";Pravda;"Americký miliardár a finančník Jeffrey Epstein bol obvinený zo zneužívania a obchodovania s maloletými na účely sexuálneho zneužívania. V roku 2008 sa priznal k zneužívaniu maloletých dievčat, za čo dostal trest 18 mesiacov odňatia slobody. Výrok preto hodnotíme ako pravdivý.";Iné;2025-11-16;"Michal Šimečka";"Progresívne Slovensko"
"Teraz sa ukazuje aj z tej korešpondencie pána Lajčáka, resp. pána Epsteina, pána Bannona, že ak niekto mal kontakt v tom období na jar 2018 s predstaviteľmi americkej vlády a s vplyvnými americkými finančníkmi, tak to bol minister Ficovej vlády pán Lajčák. Dokonca sa aj rozprávajú o slovenskej politike.";Pravda;"Zverejnená e-mailová komunikácia Jeffreyho Epsteina ukazuje, že bol v priamom kontakte s Miroslavom Lajčákom. Epstein  zároveň v korešpondencii so Stevom Bannonom spomínal nielen bývalého ministra, ale referoval aj politickú situáciu na Slovensku. Výrok preto označujeme za pravdivý. ";"Zahraničná politika";2025-11-16;"Michal Šimečka";"Progresívne Slovensko"
"Pán Šaško záchrankový tender zastavil bez toho, aby boli známe vôbec akékoľvek výsledky. Bolo nad tým vlna pochybností. Práve preto ho pán Šaško zastavil tento tender a tam bola vyplatená škoda presne 0 EUR.";Zavádzajúce;"Minister zdravotníctva Kamil Šaško mal výsledky výberového konania k dispozícii ešte pred zrušením záchrankového tendra. Zo stanoviska Generálnej prokuratúry vyplýva, že Operačné stredisko záchrannej zdravotnej služby mu ich doručilo 11. augusta 2025. Tender bol zrušený až o dva dni neskôr. 7. augusta nepotvrdené výsledky unikli aj do médií. Podľa generálneho prokurátora tiež došlo k porušeniu práv účastníkov tendra, a je preto možné, že sa firmy budú môcť domáhať odškodnenia. Výrok preto hodnotíme ako zavádzajúci.";Zdravotníctvo;2025-11-16;"Matúš Šutaj Eštok";Hlas
"Máme rozhodnutie súdu, ten páchateľ (atentátu na premiéra Fica, pozn.) je právoplatne odsúdený.";Nepravda;"V októbri 2025 si verejnosť po roku a pol od atentátu vypočula rozsudok nad strelcom Jurajom Cintulom. Senát sa jednomyseľne zhodol, že atentát bol teroristickým útokom a páchateľa odsúdil na 21 rokov väzenia nepodmienečne. Rozsudok však ešte nie je právoplatný, pretože sa voči nemu obžalovaný odvolal. O jeho vine tak bude rozhodovať Najvyšší súd. Výrok Michala Šimečku preto hodnotíme ako nepravdivý.";"Spravodlivosť a súdnictvo";2025-11-16;"Michal Šimečka";"Progresívne Slovensko"
"Inflácia v aktuálnom období klesla, že nám klesli ceny dokonca niektorých potravín, že niektoré potraviny zlacneli.";Pravda;"Inflácia v októbri 2025 medziročne klesla na 3,7 percenta, ide o najnižšiu hodnotu v tomto roku spolu s aprílom, kedy bola na rovnakej úrovni. Podľa Štatistického úrad SR sa rast cien potravín v októbri 2025 zastavil. Zlacneli tri druhy potravín - mäso, ovocie a niektoré pochutiny. Výrok preto hodnotíme ako pravdivý.";Ekonomika;2025-11-16;"Matúš Šutaj Eštok";Hlas
"Neexistuje žiadny, jediný dôkaz o tom, že by ktokoľvek iný s tým mal niečo spoločné (atentát na Fica, pozn.).";Pravda;"V októbri 2025 si verejnosť po roku a pol od atentátu na premiéra vypočula rozsudok nad strelcom Jurajom Cintulom. Senát sa jednomyseľne zhodol, že čin bol teroristickým útokom a páchateľa odsúdil. Vyšetrovanie ani súd nepreukázali, že by mal strelec prepojenie na opozíciu, v rozsudku sa tiež nespomína, že mal Cintula komplicov. Výrok Michala Šimečku hodnotíme ako pravdivý.";"Spravodlivosť a súdnictvo";2025-11-16;"Michal Šimečka";"Progresívne Slovensko"
"By sme tu mohli celú reláciu hovoriť o výsledkoch Hlasu.Od trinástych dôchodkov, od rastu minimálnej mzdy, od pomoci pri cenách energií, od zastavení nelegálnej migrácie, ktorú vy ste schvaľovali, od boji proti ETS. … Môžme sa baviť o tom, ako sme príspevok pre matky, ktorý už dneska bude na úrovni 500 EUR, zabezpečili, ako sme všetky tieto príspevky ochránili, ktoré ste vy s pánom Ódorom, autorom veľkého tresku, navrhovali rušiť.";Zavádzajúce;"Ministerstvo práce na čele s Erikom Tomášom z Hlasu zvýšilo trináste dôchodky aj minimálnu mzdu. Zvýšenie rodičovského príspevku na 500 eur bolo v novembri 2025 v medzirezortnom pripomienkovom konaní. Strana Hlas tiež uznesením v parlamente žiadala vládu o to, aby na pôde EÚ presadzovala odloženie účinnosti systému ETS 2. Pokles nelegálnej migrácie však nie je možné pripisovať výlučne opatreniam aktuálnej vlády. Progresívne Slovensko v programovom dokumente Tresk nenavrhuje zrušenie trinástych dôchodkov a rodičovského príspevku. Výrok preto hodnotíme ako zavádzajúci.";Ekonomika;2025-11-16;"Matúš Šutaj Eštok";Hlas
"Máme situáciu, že nám státisíce mladých ľudí odišli do zahraničia.";Neoveritelné;"Meranie tzv. „odlivu mozgov,“ je z hľadiska presnosti náročné. Podľa Inštitútu verejných politík doposiaľ nemáme spoľahlivé dáta o tom, koľko ľudí sa po štúdiu v zahraničí vracia späť a koľko absolventov a absolventiek slovenských vysokých škôl odchádza do zahraničia a zostáva tam (.pdf, s. 1). Dáta o zdravotne poistených ľuďoch naznačujú, že medzi v rokoch 2000 až 2015 zo Slovenska odišlo 300-tisíc ľudí, tieto odhady sú však orientačné. Chýbajú tiež kompletné dáta o veku odchádzajúcich. Výrok preto hodnotíme ako neoveriteľný.";Ekonomika;2025-11-16;"Michal Šimečka";"Progresívne Slovensko"
"...touto partičkou policajtov, ktorých som pri svojom nástupe v zmysle zákona postavil mimo službu a 9 rozhodnutí krajských súdov, mi dalo za pravdu.";Zavádzajúce;"Krátko po nástupe do funkcie minister vnútra, Matúš Šutaj Eštok postavil mimo službu policajných vyšetrovateľov okolo Jána Čurillu, hoci mali status chránených oznamovateľov. Urobil tak bez súhlasu Úradu na ochranu oznamovateľov. Dotknutí policajti sa obrátili na súd a žiadali vydanie neodkladného opatrenia, ktoré by im umožnilo návrat do práce. Krajský súd ich žiadosti nevyhovel. Súd však nerozhodoval o zákonnosti samotného postupu ministra, ale len o neodkladnom opatrení, aby sa mohli vrátiť do práce pred prebehnutím súdneho procesu. Výrok Matúša Šutaja Eštoka preto hodnotíme ako zavádzajúci.";"Obrana, bezpečnosť, polícia";2025-11-16;"Matúš Šutaj Eštok";Hlas
"Nikto zo strany Smer-Slovenská sociálna demokracia nehovorí o rušení Špecializovaného trestného súdu.";Nepravda;"Podpredseda Smeru-SD Ľuboš Blaha septembri 2025 vyhlásil, že Špecializovaný trestný súd by mal byť zrušený. V tvrdení sa stotožňoval s postojom ministra obrany Kaliňáka, ktorý spochybnil  „produktívnosť” súdu a „či vôbec tu má byť“. Výrok preto hodnotíme ako nepravdivý.";"Spravodlivosť a súdnictvo";2025-11-08;"Robert Fico";"SMER - sociálna demokracia"
"V septembri vyhlásil maloobchod, že mal rekordné tržby.";Zavádzajúce;"Slovenský maloobchod v septembri dosiahol najlepší výsledok v roku 2025. V septembri 2025 sa oproti septembru 2024 skutočne zvýšili maloobchodné tržby o 1,4 %. Za deväť mesiacov od začiatku roka však v porovnaní s rovnakým obdobím v roku 2024 tržby maloobchodu klesli o 0,6 %. Výrok preto hodnotíme ako zavádzajúci.";Ekonomika;2025-11-08;"Robert Fico";"SMER - sociálna demokracia"
"Platy reálne rastú, pretože miera rastu platov je vyššia, ako je miera inflácie.";Pravda;"V druhom kvartáli 2025 nominálne mzdy medziročne narástli o 8,8 percenta. Inflácia sa v tom čase pohybovala na úrovni 3,7 až 4,3 percenta. Keďže bolo tempo rastu hrubých miezd vyššie ako tempo rastu inflácie, reálne mzdy rástli o 4,5 percenta. Výrok preto hodnotíme ako pravdivý.";Ekonomika;2025-11-08;"Robert Fico";"SMER - sociálna demokracia"
"Minulý rok 1,3 milióna ľudí cez cestovné kancelárie vycestovalo do sveta, tento rok to bude 1,6 milióna ľudí, ktorí cez cestovné kancelárie vycestovali.";Nepravda;"V roku 2024 do zahraničia vycestovalo takmer 1,1 milióna ľudí cez cestovné kancelárie a agentúry. Slovenská asociácia cestovných kancelárií a cestovných agentúr v roku 2025 odhaduje 1,3 milióna cestujúcich do zahraničia prostredníctvom ich služieb. Výrok hodnotíme ako nepravdivý.";Ekonomika;2025-11-08;"Robert Fico";"SMER - sociálna demokracia"
"Rozvrátené financie sme dostali v roku 2023. Aspoň to, dúfam, uznáte, že sme mali najhoršie verejné financie v celej Európskej únii.";Pravda;"Podľa Rady pre rozpočtovú zodpovednosť bolo Slovensko v roku 2023 v pásme vysokého rizika dlhodobej fiškálnej udržateľnosti. Potvrdili to aj ukazovatele udržateľnosti Európskej komisie, keď Slovensko v tom roku označili za najrizikovejšiu krajinu v rámci celej EÚ. Výrok preto hodnotíme ako pravdivý. ";"Európska únia";2025-11-08;"Robert Fico";"SMER - sociálna demokracia"
"Najvýznamnejšia ratingová agentúra povedala, že vláda Slovenskej republiky, citujem, „zodpovedne nakladá s verejnými financiami“ a dala nám pozitívny rating A+.";Neoveritelné;"Ratingová agentúra Standard & Poor’s v októbri 2025 potvrdila Slovensku rating A+ s negatívnym výhľadom, čím nadviazala na svoje jarné hodnotenie. Keďže však kompletné znenie hodnotenia nie je v súčasnosti verejne dostupné, tvrdenia Roberta Fica o jeho obsahu a presnosť tejto citácie nemožno overiť. Výrok preto hodnotíme ako neoveriteľný.";Ekonomika;2025-11-08;"Robert Fico";"SMER - sociálna demokracia"
"Slovenská republika má dlh niečo vyšší ako 60 %. A vo Francúzsku majú 110 %.";Pravda;"Podľa údajov Eurostatu mala Slovenská republika v druhom štvrťroku 2025 verejný dlh na úrovni 62,9 % HDP, zatiaľ čo vo Francúzsku dosiahol 115,8 % HDP. Priemerný dlh krajín Európskej únie predstavoval 81,9 % HDP a v eurozóne 88,2 %. Výrok hodnotíme ako pravdivý.";Ekonomika;2025-11-08;"Robert Fico";"SMER - sociálna demokracia"
"My dnes napr. berieme možno už iba medzi 30-40 % ruského plynu a zrazu ceny idú hore. No lebo ten plyn prichádza z iných oblastí a je drahší.";Neoveritelné;"Posledné dostupné dáta o dovoze ruského plynu na Slovensku pochádzajú z roku 2023. Údaje o fyzických tokoch ukazujú, že najviac plynu na územie Slovenska prichádza z Maďarska, touto cestou dodáva plyn ruská spoločnosť Gazprom. Odhady sa pohybujú na úrovni 40 až 50 percent. Nie je však verejnou informáciou, koľko Slovensko platí za ruský plyn. Ceny pre domácnosti reguluje štát, pre slovenské firmy je zemný plyn jedným z najdrahších v EÚ. Podľa energetického analytika Potočára cena plynu závisí od množstva faktorov vrátane geopolitickej situácie a krajina pôvodu ju neovplyvňuje priamo. Ruský plyn bol najdrahší v roku 2022 napriek tomu, že ho do Európy dodávalo výrazne viac, než v roku 2025. Vzhľadom na to, že sme nenašli spoľahlivé údaje o objeme dovozu a spotrebe ruského plynu, výrok hodnotíme ako neoveriteľný.";Energetika;2025-11-08;"Robert Fico";"SMER - sociálna demokracia"
